"noche","cafe","horas","prod"
"Día","No toma",3.6,64
"Día","No toma",7.3,67.8
"Noche","Toma café",11.4,50
"Día","No toma",8.1,57.3
"Día","No toma",5.6,64.9
"Día","No toma",5.3,77.6
"Día","Toma café",6.9,63
"Noche","Toma café",13,52.1
"Día","No toma",6.9,54.4
"Día","No toma",10,54.5
"Noche","Toma café",12.9,50.9
"Día","Toma café",12.4,60.1
"Noche","Toma café",12,47.1
"Día","No toma",8.8,61.5
"Día","Toma café",15.6,51.8
"Día","No toma",7.9,58.4
"Día","No toma",4,71.4
"Día","Toma café",8.8,60.8
"Día","No toma",5.3,68.6
"Noche","Toma café",17.3,40.3
"Día","No toma",3.6,63.3
"Día","No toma",8,57.8
"Día","No toma",14.5,48.3
"Día","No toma",6.3,63.8
"Día","No toma",8.2,61.1
"Día","No toma",6.7,62.7
"Noche","Toma café",18.1,38.1
"Noche","Toma café",16.4,41.6
"Noche","Toma café",9.1,52.1
"Noche","Toma café",13.7,48.3
"Día","No toma",3.7,63.5
"Día","No toma",5.9,68.9
"Día","No toma",10.2,52.9
"Día","No toma",17.5,32.2
"Día","Toma café",10.2,58.1
"Día","No toma",7,68.4
"Día","Toma café",11.3,55
"Día","No toma",3.7,68.4
"Día","No toma",12,48.8
"Día","No toma",12.5,49.2
"Día","No toma",6.6,65.1
"Noche","No toma",11.5,47.5
"Día","No toma",4.8,66.2
"Noche","Toma café",11.9,51.3
"Día","No toma",5.4,54
"Día","No toma",5.4,73.3
"Día","Toma café",11.2,46.7
"Noche","Toma café",14.9,40.8
"Día","No toma",9.8,56.9
"Día","No toma",9.4,54.5
"Noche","Toma café",16.2,35.2
"Día","No toma",6.6,59.2
"Día","No toma",4.7,69.9
"Día","No toma",8.5,61.1
"Día","No toma",9,59.7
"Día","No toma",7.2,64.2
"Día","No toma",7.3,61
"Noche","Toma café",19.3,41.1
"Día","No toma",6.9,65.7
"Día","No toma",5.1,73.2
"Día","No toma",11.4,54.2
"Día","No toma",8.1,57.3
"Día","Toma café",14.2,38.9
"Día","Toma café",9.3,63.8
"Noche","No toma",5.3,64.9
"Día","No toma",9.9,50.5
"Día","No toma",7,62.8
"Día","Toma café",11.1,54.3
"Día","Toma café",6.4,69.8
"Noche","Toma café",13.7,50
"Noche","Toma café",14,45.6
"Día","No toma",5.8,67.8
"Día","No toma",10.6,56.6
"Noche","No toma",10.3,48
"Noche","Toma café",15.3,37.2
"Día","No toma",11.3,53
"Día","No toma",11.9,43.7
"Día","No toma",7.7,58.1
"Día","No toma",6.7,64
"Día","No toma",8.4,56.6
"Día","No toma",7.9,62.6
"Día","No toma",5.2,67.4
"Noche","Toma café",18.5,41.1
"Día","No toma",5.8,55.8
"Día","No toma",7.4,60.3
"Noche","Toma café",15,38.3
"Noche","Toma café",13.8,51.6
"Día","No toma",9.9,51.3
"Día","Toma café",9.6,64.1
"Día","No toma",6.6,74.1
"Día","Toma café",7.5,75.1
"Día","No toma",8.6,55.4
"Día","No toma",11.1,46.4
"Noche","Toma café",13.4,49.2
"Día","No toma",7.5,68.8
"Noche","Toma café",11.4,48.6
"Día","No toma",4.6,68.6
"Día","No toma",8.5,60.5
"Noche","Toma café",19.1,41.9
"Día","Toma café",8.4,67.9
"Noche","Toma café",13.9,38.3
"Día","No toma",9.7,56.1
"Día","No toma",4.6,61.5
"Día","Toma café",10.7,57.8
"Noche","Toma café",18,35.4
"Día","No toma",10.3,60.4
"Noche","Toma café",12.7,51.2
"Día","No toma",6.4,63.7
"Día","No toma",11.4,56.6
"Noche","Toma café",17.3,43.1
"Día","Toma café",10.5,56.7
"Día","No toma",9.3,60.9
"Día","Toma café",12.9,54.5
"Noche","No toma",8.8,48.1
"Noche","Toma café",11.9,48.3
"Día","No toma",8.6,60.5
"Día","Toma café",4.3,74
"Día","No toma",9.2,62
"Día","No toma",4.9,69.7
"Noche","Toma café",12.6,49.5
"Día","No toma",8.7,54
"Día","Toma café",5.9,64.7
"Día","Toma café",13.9,42.5
"Día","No toma",6.6,62.8
"Día","No toma",8.8,59.5
"Día","No toma",8.4,52.8
"Día","Toma café",8.7,62.1
"Día","No toma",8.1,62.6
"Noche","Toma café",16,37.7
"Día","No toma",13.2,44.7
"Noche","No toma",13.1,42
"Día","No toma",8.9,60.1
"Noche","No toma",13.1,39.7
"Día","No toma",8.5,61.8
"Noche","Toma café",18,38.5
"Día","Toma café",12.5,47.9
"Día","Toma café",10.3,61.6
"Noche","Toma café",15.6,33.6
"Día","Toma café",6.5,69.9
"Día","No toma",10.1,49.4
"Noche","Toma café",20.8,33.6
"Día","Toma café",11.6,57.7
"Noche","Toma café",11.6,54.3
"Día","Toma café",6.4,61.1
"Día","Toma café",9.3,50.4
"Día","No toma",7.5,54.5
"Noche","No toma",16.8,43.8
"Día","No toma",10.4,56.9
"Día","No toma",4.9,61.7
"Noche","Toma café",13.5,39.2
"Día","Toma café",11.9,61.1
"Noche","Toma café",14.4,46.9
"Día","Toma café",8.4,64.5
"Día","Toma café",10.6,53
"Noche","Toma café",15.9,46.1
"Noche","No toma",11.1,52.9
"Día","No toma",8.2,61.1
"Noche","No toma",12.4,48
"Noche","Toma café",16.1,48.1
"Día","Toma café",5,74.4
"Noche","No toma",12.1,45.5
"Noche","Toma café",20.1,28.5
"Día","No toma",8.2,62.5
"Noche","Toma café",16.1,34.1
"Día","No toma",10.4,58.3
"Día","Toma café",11.2,59.4
"Día","Toma café",8.5,64.6
"Día","No toma",6.4,70.9
"Día","No toma",8.5,53.1
"Día","No toma",9.7,56.7
"Día","No toma",6.5,58.1
"Día","No toma",6.4,60.7
"Noche","Toma café",10.8,51.4
"Día","Toma café",17.3,37.3
"Día","No toma",6,67.6
"Día","No toma",6.9,65.2
"Noche","No toma",11.1,52.8
"Día","No toma",14.2,41.9
"Noche","Toma café",18.7,38.3
"Noche","Toma café",14.8,50
"Noche","Toma café",10.6,53.4
"Día","No toma",8.2,62.5
"Día","No toma",9.8,51
"Día","No toma",7.9,61.8
"Día","No toma",5.3,63.7
"Noche","No toma",10.1,48.8
"Día","Toma café",13.3,53.9
"Día","No toma",8.8,58.3
"Noche","Toma café",14.7,46
"Día","Toma café",7.6,61.7
"Día","Toma café",8.3,68.3
"Noche","No toma",14,40.2
"Noche","No toma",10.4,46.8
"Día","Toma café",5.4,73.5
"Día","No toma",7.8,60
"Día","No toma",6.2,60.4
"Día","Toma café",7,72.2
"Día","No toma",7.4,61.2
"Noche","Toma café",16,43.9
"Noche","Toma café",19.7,37.2
"Día","No toma",7.2,57.9
"Día","Toma café",8.7,63.3
"Noche","Toma café",16.6,30.7
"Día","No toma",7.5,60.4
"Noche","No toma",12.9,46.7
"Noche","Toma café",8.9,55
"Día","Toma café",11.4,58
"Día","No toma",7.5,61.6
"Día","Toma café",8.1,67.4
"Día","Toma café",12.3,46.4
"Noche","Toma café",12,56.2
"Noche","Toma café",16.7,35.4
"Día","No toma",7.2,70.4
"Día","No toma",5.5,58.5
"Noche","No toma",13.6,40.8
"Noche","Toma café",16.1,41.7
"Noche","No toma",12.7,46.1
"Noche","No toma",13,38.7
"Día","Toma café",5.9,72.6
"Día","Toma café",9.7,58
"Día","No toma",6.8,56.9
"Día","Toma café",9.7,54.1
"Día","No toma",8.8,50.1
"Día","No toma",6,65.9
"Día","No toma",6.3,66.5
"Día","No toma",4.4,73
"Noche","Toma café",16.1,44.4
"Día","No toma",7.8,63.4
"Noche","Toma café",18.9,34.2
"Día","Toma café",9.6,57.8
"Día","No toma",4.2,67.7
"Noche","Toma café",20,29
"Día","No toma",7.7,56.9
"Noche","Toma café",19.7,29.7
"Noche","Toma café",16.1,42.8
"Día","No toma",5.2,68.5
"Día","No toma",4.3,70.2
"Noche","No toma",10.8,53.4
"Día","Toma café",9.7,63.1
"Día","Toma café",9.7,64
"Noche","Toma café",18.5,31.5
"Noche","No toma",15.3,41.4
"Noche","Toma café",17.3,31.1
"Día","No toma",7.8,68.4
"Día","No toma",3.1,82
"Noche","Toma café",12.9,52.6
"Noche","Toma café",15.1,47.4
"Día","No toma",4.7,68.2
"Noche","Toma café",10.3,56
"Noche","Toma café",12.5,45.7
"Día","Toma café",9.8,60.2
"Noche","No toma",15.9,36.2
"Noche","Toma café",12.3,51.8
"Día","No toma",3.8,75.1
"Día","No toma",5.1,69.8
"Día","No toma",4.1,71.3
"Día","No toma",11.3,52.5
"Día","No toma",6.9,63.3
"Día","No toma",6.1,67.4
"Noche","No toma",9.2,44.1
"Día","Toma café",9.9,61
"Noche","No toma",12.7,41.1
"Día","No toma",6,59
"Día","Toma café",7.9,68.8
"Noche","Toma café",14.1,41.3
"Día","Toma café",9.6,58.2
"Día","No toma",8.1,57.2
"Día","Toma café",9.2,56.8
"Noche","Toma café",15.4,44.4
"Noche","Toma café",18.8,33.8
"Noche","Toma café",15.4,39.7
"Día","No toma",10.6,55.3
"Día","No toma",6.3,62.4
"Día","Toma café",11.6,57.8
"Noche","Toma café",16.3,43.9
"Día","No toma",7.4,73.1
"Día","No toma",7.2,70.6
"Noche","No toma",11.2,51.9
"Noche","Toma café",13.2,49.4
"Noche","Toma café",15.9,38.9
"Noche","Toma café",17.2,37
"Noche","Toma café",13.6,50.8
"Día","Toma café",14.7,51.7
"Día","Toma café",10.5,59.7
"Noche","Toma café",14.8,40.7
"Día","No toma",4.1,67.4
"Día","No toma",7,66.2
"Noche","Toma café",15.3,37.8
"Día","No toma",5.9,66.6
"Noche","Toma café",19.4,33.5
"Día","No toma",7.1,62.6
"Noche","Toma café",10,49.3
"Día","Toma café",10.7,59.6
"Día","No toma",5.5,68.1
"Noche","No toma",10.2,49.6
"Día","No toma",10.2,54.7
"Día","No toma",11.2,50.9
"Día","Toma café",8.5,59.4
"Noche","Toma café",13.6,48.6
"Día","Toma café",9.1,66.2
"Noche","Toma café",18.4,32
"Noche","No toma",10.8,45.1
"Día","Toma café",13.2,50.8
"Día","No toma",9.5,61.5
"Noche","Toma café",12.4,52.8
"Día","No toma",8.1,62
"Día","No toma",9.6,56.9
"Día","Toma café",12.7,56.2
"Día","No toma",3.9,76.2
"Día","No toma",8.5,62.8
"Día","Toma café",8,68.2
"Noche","Toma café",11.9,47.7
"Noche","Toma café",14.4,46.3
"Día","Toma café",11,48.7
"Día","No toma",10.1,58.4
"Día","No toma",9.4,45.5
"Día","Toma café",12.2,49
"Noche","No toma",18.8,27.7
"Día","Toma café",11,54.3
"Día","Toma café",10.6,54.9
"Noche","Toma café",19,30.2
"Día","No toma",7.9,57.3
"Día","No toma",12.9,40.1
"Día","No toma",14,48
"Día","No toma",5.8,64.5
"Noche","Toma café",20.4,25.9
"Día","No toma",11.4,53.4
"Día","No toma",8.2,59.2
"Día","No toma",5.9,61.9
"Noche","Toma café",20.4,35.2
"Día","No toma",5.8,66.5
"Noche","Toma café",20.9,29.9
"Día","Toma café",9.8,67.4
"Día","Toma café",13.9,49.7
"Día","Toma café",8.6,65.8
"Día","No toma",5.8,64.7
"Día","No toma",11.8,52
"Día","No toma",6.3,64.2
"Día","No toma",9.3,59.9
"Noche","Toma café",15.1,38
"Noche","Toma café",14.6,46.6
"Día","Toma café",8.5,65.3
"Día","No toma",11.2,60.2
"Día","Toma café",7.2,67
"Día","No toma",9.2,61.7
"Noche","Toma café",16.2,39.2
"Noche","No toma",13,40.5
"Día","Toma café",12.1,54.2
"Noche","Toma café",13.8,55.8
"Día","No toma",3.7,74.5
"Día","No toma",10.3,52
"Noche","Toma café",18.7,37.7
"Día","No toma",8.1,60.1
"Día","No toma",8.5,52.1
"Noche","Toma café",9.2,58.5
"Día","No toma",4.8,68.1
"Día","Toma café",11.5,61.9
"Día","No toma",9.9,63.8
"Día","No toma",11.2,57.4
"Noche","No toma",16.4,32.8
"Noche","Toma café",14.9,48.6
"Día","No toma",7.1,61.8
"Noche","Toma café",14.3,43.7
"Noche","Toma café",15.3,37.3
"Noche","Toma café",11.8,46.5
"Noche","Toma café",15.3,53.6
"Día","No toma",7.1,58.8
"Noche","Toma café",14.2,39.5
"Día","No toma",6.4,71.3
"Día","No toma",9.9,51.5
"Día","No toma",7.7,62.4
"Día","No toma",5.8,64.3
"Noche","Toma café",17,37.4
"Día","No toma",5.4,61
"Día","No toma",5.2,72.4
"Día","Toma café",9.6,60.2
"Día","No toma",9.1,54.4
"Día","Toma café",4.8,76.4
"Día","No toma",8.1,59.4
"Día","No toma",7.2,67.2
"Día","Toma café",5.4,64.3
"Día","No toma",5.7,64.9
"Día","No toma",13.9,49
"Día","Toma café",11.5,46.6
"Noche","Toma café",14.4,42.2
"Día","No toma",7.8,62
"Noche","No toma",12.1,43
"Día","Toma café",10.2,59.6
"Noche","Toma café",12.7,44.9
"Noche","Toma café",9.4,54.8
"Día","No toma",8.2,60
"Noche","Toma café",10.7,51
"Día","Toma café",5.8,74.9
"Noche","Toma café",11.1,48.5
"Noche","No toma",14,47
"Noche","No toma",11.6,48.9
"Día","No toma",5.6,60.2
"Día","No toma",8.5,61.1
"Día","No toma",8.5,64.7
"Día","No toma",5.5,74.3
"Día","No toma",5.7,70.2
"Día","No toma",13,45.5
"Día","No toma",6.1,61.2
"Día","Toma café",7.7,66.3
"Día","No toma",3.7,69.8
"Día","No toma",3.8,76.2
"Día","Toma café",6.1,68.4
"Noche","Toma café",15.5,46.8
"Noche","Toma café",16.3,38.7
"Noche","Toma café",14.2,50.1
"Día","No toma",2,66.9
"Noche","No toma",15.8,35.7
"Día","No toma",14.6,42.8
"Día","No toma",8.4,58.7
"Día","Toma café",10.1,61.1
"Día","Toma café",9.7,60.9
"Día","No toma",5.9,66.4
"Día","No toma",9.4,57.3
"Día","No toma",14,52.8
"Noche","Toma café",19.7,28.2
"Noche","Toma café",15.8,45
"Día","Toma café",7.6,64.6
"Noche","Toma café",16.9,32.1
"Día","No toma",8.2,67.7
